Source,Date,Time,Word,Subject,Situation,Age_utterance,Age_current,gender
none,6/11/14,10:41,Blue,,He was playing with a Hot Wheels  blue car,11m,13plusy,male
none,6/11/14,10:42,Ball,animaletc,Playing w ball,10mOrBefore,0to3y,male
none,6/11/14,10:42,Car,animaletc,when he's playing a toy car with his grandpa.,14mOrLater,0to3y,male
none,6/11/14,10:42,Dog,animaletc,"Our familay dog Jasper has jumped up on my son's high chair table. He patted her and said ""dawg"". 7 months old.",10mOrBefore,0to3y,male
none,6/11/14,10:42,Ball,animaletc,my child asked for his favorite toy,10mOrBefore,0to3y,male
none,6/11/14,10:43,Owl,animaletc,In our home pointing at the toy,10mOrBefore,0to3y,female
none,6/11/14,10:43,Hi,other,"I walked into her room. She was in her crib. I opened the door and she said ""hi"". ",11m,7to12y,female
none,6/11/14,10:44,Kotj,animaletc,playdate at a friend's home,10mOrBefore,4to6y,female
none,6/11/14,10:44,Wow,action,,11m,0to3y,male
none,6/11/14,10:44,Bate,action,She was watching Dora and said 'bate' to mix.  She then started singing bate bate chocolate.,10mOrBefore,4to6y,female
none,6/11/14,10:44,Mas Agua,action,wanted more food or water,dontremember,7to12y,female
none,6/11/14,10:47,Cheese,animaletc,i took cheese out of the fridge for a snack and did not ask him a question or anything he just pointed at it and said cheese (sounded more like sheesh),12m,0to3y,male
none,6/11/14,10:47,Nana,action,Asking to breastfeed,10mOrBefore,4to6y,male
none,6/11/14,10:48,Baby,person,Looking at his baby brother in the crib and is saying that he's a baby.,14mOrLater,0to3y,male
none,6/11/14,10:47,Bird,animaletc,child looked out window pointed and said it.,13m,7to12y,male
none,6/11/14,10:49,Ball,animaletc,She was playing with a new blue ball,10mOrBefore,0to3y,female
none,6/11/14,10:42,Dog Dog,animaletc,"The dog walked over to where we were sitting and he said ""dog dog!""",10mOrBefore,0to3y,male
none,6/11/14,10:50,Ball,animaletc,playing in the living room we would point to the ball and he would say bah (ball),14mOrLater,0to3y,male
none,6/11/14,10:48,Erge,person,"The baby's second elder brother like to say to her. In Chinese Language ""erge"" means 2nd elder brother.",10mOrBefore,7to12y,female
none,6/11/14,10:50,Ball,animaletc,He was playing in a ball pit that he got as a gift. ,12m,7to12y,male
none,6/11/14,10:48,Kuta ,animaletc,In a stroller going along Santa Cruz sidewalk,14mOrLater,0to3y,male
none,6/11/14,10:32,Dada,other,pictures,11m,0to3y,male
none,6/11/14,10:49,Baba ,,Holding bottle,11m,0to3y,male
none,6/11/14,10:50,Sean,person,concerned about big brother taking off running out door,12m,7to12y,female
none,6/11/14,10:50,Oh Wow,other,"He would point things that were interesting and said ""oh wow!""",10mOrBefore,0to3y,male
none,6/11/14,10:51,Hi,other,She was in bed and we peered over and she smiled and said hi,10mOrBefore,0to3y,female
none,6/11/14,10:49,Ball,animaletc,He was playing with a ball,11m,0to3y,male
none,6/11/14,10:51,Heego ,action,handing me something,12m,4to6y,female
none,6/11/14,10:53,Car,animaletc,Looking at cars on the street,11m,0to3y,male
none,6/11/14,10:52,Light,other,press the light switch,dontremember,4to6y,female
none,6/11/14,10:52,Yai,person,Happy,10mOrBefore,0to3y,male
none,6/11/14,10:54,Ball,animaletc,Playing on the floor with a ball,dontremember,0to3y,male
none,6/11/14,10:55,Uh-Oh,action,dropped food,11m,7to12y,male
none,6/11/14,10:53,Kitty,animaletc,"We were walking around in a residential neighborhood. My daughter (~9.5 months old then) saw a friendly cat who approached us and let her pet it. After some number of us mentioning ""kitty"" she said ""kitty"" several times. Later that week when we showed her toy cats and pictures of cats she reproduced the word. 2 weeks later she suddenly stopped reproducing it. She did not use any other words for the next 1.5-2 months (she started saying ""mama"" and ""papa"" only at ~11 months).",10mOrBefore,0to3y,female
none,6/11/14,10:54,Milk,animaletc,,dontremember,0to3y,male
none,6/11/14,10:55,Anne,person,,10mOrBefore,4to6y,male
none,6/11/14,10:55,Duck,animaletc,playing the bath,11m,7to12y,female
none,6/11/14,10:55,Yum,animaletc,He wanted more food to eat. ,11m,0to3y,male
none,6/11/14,10:55,No,other,asked question,14mOrLater,0to3y,female
none,6/11/14,10:56,Tiger,animaletc,Our very loved cat,13m,7to12y,male
none,6/11/14,10:58,Abuca,animaletc,Noise,11m,7to12y,male
none,6/11/14,10:58,Yes,other,"Daughter responded to any question asked with a reflection in the voice indicating it was a question with ""yes""",10mOrBefore,0to3y,female
none,6/11/14,10:58,Quack,animaletc,"Singing ""3 Little Ducks"" song together. ",12m,7to12y,female
none,6/11/14,10:59,Uh-Oh,action,Dropping food or other items on the floor from her high chair,13m,0to3y,female
none,6/11/14,11:01,Boobie,person,she was breastfeeding,10mOrBefore,4to6y,female
none,6/11/14,11:01,Up,action,She was in her high chair,10mOrBefore,4to6y,female
none,6/11/14,11:01,Kitty,animaletc,seeing our pet cat walk up,13m,7to12y,female
none,6/11/14,11:01,Agua,animaletc,,10mOrBefore,0to3y,female
none,6/11/14,10:52,Ball,animaletc,"Even before he spoke it he understood it. My doubting husband tested by hiding the ball behind the couch without our child's knowledge. ""Go and find the bal"" he said, and off our child went, in search, and brought back the ball",10mOrBefore,13plusy,male
none,6/11/14,11:00,Please,action,Wanted a 2nd serving of milk,11m,0to3y,male
none,6/11/14,11:02,Tree,other,He saw a tree,11m,7to12y,male
none,6/11/14,11:02,Dada,person,,13m,0to3y,female
none,6/11/14,11:03,Nana  ,other,playing with a stuffed banana slug refrigerator magnet,dontremember,0to3y,female
none,6/11/14,11:05,Book,animaletc,He wanted a book read to him. ,10mOrBefore,0to3y,male
none,6/11/14,11:06,Dada,person,,10mOrBefore,7to12y,male
none,6/11/14,11:04,Want,action,He wanted something,14mOrLater,0to3y,male
none,6/11/14,11:05,Wow,other,Looking at a bunch of balloons,10mOrBefore,0to3y,female
none,6/11/14,11:06,Uh-Oh,action,While feeding him he dropped his food on the floor. I always said uh-oh when this happened but this time he did. ,11m,4to6y,male
none,6/11/14,11:09,Catch,action,playing with her   asking her to catch the ball,10mOrBefore,0to3y,male
none,6/11/14,11:10,Dog,animaletc,She was ten months old and petting a small dog with her parents and two family friends present,10mOrBefore,0to3y,female
none,6/11/14,11:09,Uh-Oh,action,Probably dropping something on the floor.,14mOrLater,0to3y,male
none,6/11/14,11:12,Milk,animaletc,american sign language with hand for milk,dontremember,0to3y,male
none,6/11/14,15:12,Water,animaletc,he started swimming lessons,11m,0to3y,male
none,6/11/14,11:12,Up,action,Wanted to be picked up to see something higher up,12m,0to3y,male
none,6/11/14,11:14,Agua,animaletc,She was having her breakfast,10mOrBefore,7to12y,female
none,6/11/14,11:14,Mum Mum ,animaletc,approaching him w/ a milk bottle,10mOrBefore,7to12y,male
none,6/11/14,11:13,Apple,animaletc,Out in our garden under the apple tree. I kept pointing to the apples and saying apples,10mOrBefore,0to3y,female
none,6/11/14,11:14,Toup,animaletc,chasing the ball while crawling and said toup,10mOrBefore,0to3y,male
none,6/11/14,11:13,Ball,animaletc,"He was rolling and throwing  a ball around when he stopped held out the ball and said ""ball""?",10mOrBefore,0to3y,male
none,6/11/14,11:16,Car,animaletc,He was playing with cars and trucks.,12m,4to6y,male
none,6/11/14,11:18,Dog,animaletc,She was petting our dog.,12m,0to3y,female
none,6/11/14,11:12,Dog,animaletc,He saw the dog and started repeating the word doh doh doh,10mOrBefore,0to3y,male
none,6/11/14,11:17,Kitty,animaletc,Looking out the patio door at the kitty that used to hang out in our yard.,dontremember,0to3y,male
none,6/11/14,11:17,This,animaletc,He wanted something and pointed and said this,14mOrLater,0to3y,male
none,6/11/14,11:20,Cheers,action,Drinking water,14mOrLater,0to3y,male
none,6/11/14,11:21,Uh-Oh,action,,12m,0to3y,male
none,6/11/14,11:20,Yuck,other,pooping,dontremember,0to3y,male
none,6/11/14,11:20,Hi,action,He learned to say hi after hearing teachers and parents greet one another every day at the day care during drop offs and pick ups.,10mOrBefore,0to3y,male
none,6/11/14,11:18,Happy,action,taking a bath,12m,0to3y,female
none,6/11/14,11:22,Da Da,person,He was saying it to me his mother.,10mOrBefore,4to6y,male
none,6/11/14,11:22,Uh-Oh ,action,,14mOrLater,0to3y,male
none,6/11/14,11:23,Shoe,animaletc,On the changing table and she wanted me to put her shoes on. ,11m,4to6y,female
none,6/11/14,11:23,Baba,person,,,,
none,6/11/14,11:24,Bread,animaletc,Pointing at loaf of bread in fridge.,14mOrLater,0to3y,male
none,6/11/14,11:25,Ball,animaletc,He was holding a ball and observing it.,11m,4to6y,male
none,6/11/14,11:18,Kitty,animaletc,I think we were talking about our cat who was in the room at the time. We talk about the cat a lot.,12m,0to3y,male
none,6/11/14,11:25,Ma,person,when he came out the bathroom,10mOrBefore,0to3y,male
none,6/11/14,11:26,Dog,animaletc,Dog was moving about back and forth. ,10mOrBefore,0to3y,female
none,6/11/14,11:26,More,action,"She was signing ""more"" for more food.",10mOrBefore,4to6y,female
none,6/11/14,11:27,Cat,animaletc,she was watching our cat walk around the room,12m,4to6y,female
none,6/11/14,11:32,Cat,animaletc,He was pointing to our cat,11m,0to3y,male
none,6/11/14,11:33,Lady,person,"My husband and I were singing ""London Bridge.""",dontremember,7to12y,male
none,6/11/14,11:20,Duck,animaletc,I was saying duck while holding a rubber duck and she repeated.,10mOrBefore,0to3y,female
none,6/11/14,11:36,Ball,animaletc,,10mOrBefore,0to3y,male
none,6/11/14,11:35,This,animaletc,"pointing an object/person and saying ""this""",11m,0to3y,female
none,6/11/14,11:36,Uh-Oh,action,"He started by copying us and later started dropping items looking at them and saying ""uh-oh!""",13m,0to3y,male
none,6/11/14,11:37,Dog,animaletc,"Pointed at a dog (several times) and said ""da!""",11m,0to3y,male
none,6/11/14,12:37,Hi,action,Greeting to everyone/anyone,11m,4to6y,male
none,6/11/14,11:38,No,action,More,12m,0to3y,male
none,6/11/14,8:39,More,other,Family eating at the dinner table. ,10mOrBefore,0to3y,male
none,6/11/14,11:40,Auto,animaletc,Auto means car in german the native language. We were driving a car passing by a lot of other cars. ,14mOrLater,0to3y,male
none,6/11/14,11:42,Car,other,He saw cars on the road,10mOrBefore,0to3y,male
none,6/11/14,11:44,Duck,animaletc,"We were at a playdate and they had a floor mat with various pictures on it.  One was of a duck... Anna pointed at the duck and said ""duck"".  After that she would often point at ducks and announce them.",dontremember,4to6y,female
none,6/11/14,11:45,Giants,other,"While watching Giants game his father said ""Go Giants!"" and he repeated after him ""Giant""",10mOrBefore,0to3y,male
none,6/11/14,11:47,Dog,animaletc,,dontremember,0to3y,male
none,6/11/14,11:47,Bus,animaletc,At a bus stop going to daycare. Pointed at the bus and said the word,13m,4to6y,male
none,6/11/14,11:48,Hi,action,Looked at her dad. Waved and said hi dada,10mOrBefore,0to3y,female
none,6/11/14,11:47,Bup,action,She was trying to open the refrigerator door,13m,7to12y,female
none,6/11/14,11:48,Milk,animaletc,he was sitting on my lap and pulled up my shirt.,10mOrBefore,4to6y,male
none,6/11/14,14:42,Grandma See The  Moon,animaletc,looking out the window at night at the moon with his grandmother,14mOrLater,13plusy,male
none,6/11/14,11:49,Mummam,animaletc,,10mOrBefore,4to6y,female
none,6/11/14,11:51,Banana ,animaletc,we were eating breakfast ,10mOrBefore,4to6y,male
none,6/11/14,11:51,Go,action,He wanted to move from one part of the house to the other.,10mOrBefore,4to6y,male
none,6/11/14,11:43,No,animaletc,She was presented food choices,10mOrBefore,4to6y,female
none,6/11/14,11:52,Purple  ,animaletc,Greeting people,14mOrLater,7to12y,female
none,6/11/14,11:52,Hi,animaletc,Getting balloon ,14mOrLater,7to12y,female
none,6/11/14,11:55,Oggy,animaletc,,11m,0to3y,male
none,6/11/14,11:54,Cheese,animaletc,"My husband was making pizza near the high chair and she *really* wanted cheese. She was reaching for it and grunting and finally blurted out ""CHEESE!!"" (sounded more like ""sheesh"")",10mOrBefore,7to12y,female
none,6/11/14,11:55,Allah,other,Playing,10mOrBefore,4to6y,female
none,6/11/14,11:57,Allah,other,Playing,10mOrBefore,0to3y,male
none,6/11/14,11:57,Bye,person,when we drop her to nanny.,11m,0to3y,female
none,6/11/14,11:59,Hi,person,stranger sat down next to us and baby said hi to her,10mOrBefore,0to3y,male
none,6/11/14,11:59,Dog,animaletc,The dog next door was barking,14mOrLater,7to12y,female
none,6/11/14,12:00,Ball ,animaletc,she was playing with a ball,10mOrBefore,7to12y,female
none,6/11/14,11:30,Pickle,animaletc,"He was walking  by the fridge and stopped pointed and said ""pickle?""",14mOrLater,7to12y,male
none,6/11/14,12:01,Park,action,At home. Wants to go to the park,dontremember,0to3y,female
none,6/11/14,12:02,Ball,animaletc,during a diaper change,10mOrBefore,7to12y,male
none,6/11/14,12:04,More,animaletc,Mealtime. Not feeding her fast enough apparently!,dontremember,0to3y,female
none,6/11/14,12:05,Da,action,answering his Serbian grandma who babysat him,14mOrLater,13plusy,male
none,6/11/14,11:47,Papa,person,she was playing with food,10mOrBefore,7to12y,female
none,6/11/14,15:03,Hi,other,"She was in a small playgroup and looking at the other babies and said ""hi.""",10mOrBefore,0to3y,female
none,6/11/14,12:07,Bye ,action,at a reception area the receptionist said bye to her she then responded happily,11m,0to3y,female
none,6/11/14,12:10,Cheers ,action,We (parents) hold up our cup and say cheers! Oscar (our son) holds up his cup and says cheers!,10mOrBefore,0to3y,male
none,6/11/14,12:12,Tree,other,"we were walking to a lake and she keep pointing and saying"" tree"" ",11m,4to6y,female
none,6/11/14,12:12,Apple,animaletc,"I was grocery shopping and telling him about the apples as I put them in the bag. And he looked up and said ""Apple"".",10mOrBefore,0to3y,male
none,6/11/14,12:14,Dada,person,It was Mother's Day ,14mOrLater,4to6y,male
none,6/11/14,12:14,Up,action,wanted to be picked up,13m,0to3y,male
none,6/11/14,12:15,Giggsy ,animaletc,Child was playing with cat,10mOrBefore,4to6y,female
none,6/11/14,12:27,Ball,animaletc,Chasing a ball,13m,0to3y,male
none,6/11/14,12:25,Abi ,person,For the second one we were in the kitchen and he asked for his older brother by saying the word.,10mOrBefore,4to6y,male
none,6/11/14,12:25,Dog,animaletc,do walking,10mOrBefore,4to6y,female
none,6/11/14,12:31,Dodgers,other,"I was telling him about my Los Angeles Dodgers baseball shirt and he said ""Dodgers shirt"".",10mOrBefore,4to6y,male
none,6/11/14,12:29,Uh-Oh,action,Dropping something on floor,11m,0to3y,female
none,6/11/14,12:32,Up,action,"He wanted to be picked up but in addition to extending his arms upward he also said ""up"".",14mOrLater,7to12y,male
none,6/11/14,12:33,There,action,when asked where something was,11m,0to3y,male
none,6/11/14,12:33,Hi,other,People coming into room. He would say hi without them saying it first (ie not just imitating).,13m,4to6y,male
none,6/11/14,12:36,Dog,animaletc,He saw a dog outside.,10mOrBefore,0to3y,male
none,6/11/14,12:34,Bye Bye,person,Playing,10mOrBefore,4to6y,male
none,6/11/14,12:40,Hungry ,action,He was crying and hungry.,10mOrBefore,7to12y,male
none,6/11/14,12:43,Hot,animaletc,helping me cook,dontremember,4to6y,female
none,6/11/14,12:42,Thank You ,other,She gestured for a item of interest and said thank you when it was given to her. ,12m,0to3y,female
none,6/11/14,12:41,Bird,animaletc,She saw a bird and told us about it. ,10mOrBefore,0to3y,female
none,6/11/14,13:46,Turtle,animaletc,wanted to play with a toy turtle,10mOrBefore,13plusy,female
none,6/11/14,12:50,Nana ,animaletc,,10mOrBefore,0to3y,male
none,6/11/14,12:52,Ball,animaletc,We were at a Memorial Day BBQ at a friend's house. He was sitting on the grass playing with a ball and then said ball. ,11m,0to3y,male
none,6/11/14,12:54,Brr   ,animaletc,calling for our dog,10mOrBefore,4to6y,female
none,6/11/14,12:55,Book,animaletc,wanted a book read,10mOrBefore,4to6y,female
none,6/11/14,12:56,Ball,animaletc,Playing with a ball.,10mOrBefore,0to3y,male
none,6/11/14,12:56,Ball,animaletc,we were playing with a ball,10mOrBefore,0to3y,male
none,6/11/14,12:58,Duck,animaletc,Playing with a toy duck,10mOrBefore,0to3y,female
none,6/11/14,12:59,Cat,animaletc,the cat ran by the room,10mOrBefore,4to6y,female
none,6/11/14,13:00,No,action,he didn't want something,10mOrBefore,0to3y,male
none,6/11/14,13:02,Cheese,animaletc,While holding him, I took out a piece of string cheese from the refrigerator. ,12m,0to3y
none,6/11/14,13:02,Apple,animaletc,"Holding an apple held it up to us (parents) and said ""A-ball"" for apple. ",11m,7to12y,male
none,6/11/14,13:00,Duck,animaletc,We were at the library looking at the ducks,10mOrBefore,4to6y,female
none,6/11/14,13:03,Bye,action,Parting of someone,10mOrBefore,0to3y,female
none,6/11/14,13:06,Pad ,animaletc,Pointing at an iPad,11m,4to6y,female
none,6/11/14,13:05,Bus,animaletc,"The city bus drove by our house several times a day and was pretty loud. My son would look over toward the window and I would say ""bus"". No surprise it was his first word!",10mOrBefore,13plusy,male
none,6/11/14,13:07,No,other,Not for certain but probably didn't want to do something.,dontremember,0to3y,female
none,6/11/14,13:07,Up,action,Sitting in high chair held arms over head and said up,10mOrBefore,4to6y,female
none,6/11/14,13:11,Ball,animaletc,he was playing with the ball,12m,4to6y,male
none,6/11/14,13:14,Hello,other,i came into his view as he was lying on his back in his crib,10mOrBefore,,male
none,6/11/14,13:12,Teta,animaletc,"his grandmother was chanting ""teta"" while he was in his crib",10mOrBefore,0to3y,male
none,6/11/14,13:16,Boba ,animaletc,He saw his toy and called to it.,10mOrBefore,4to6y,male
none,6/11/14,13:18,Cat,animaletc,she saw and labeled the cat,10mOrBefore,0to3y,female
none,6/11/14,13:17,Raj ,person,Wanted to be picked up,10mOrBefore,7to12y,male
none,6/11/14,13:17,Aj,person,Wanted to be picked up,10mOrBefore,7to12y,female
none,6/11/14,13:17,Milk,animaletc,"My son walked over to the fridge pointed at it and made the sound for the letter ""k"".  It took us a bit to figure out that he was saying the last sound of the word ""milk"". ",12m,4to6y,male
none,6/11/14,13:22,Outside,action,,14mOrLater,7to12y,male
none,6/11/14,13:24,Baba,person,,10mOrBefore,0to3y,female
none,6/11/14,13:23,Ouch,action,,12m,4to6y,female
none,6/11/14,13:16,No,action,I was trying to feed her,10mOrBefore,4to6y,female
none,6/11/14,13:26,Doggie,animaletc,Family dog was trying to get food from high chair tray. ,10mOrBefore,7to12y,female
none,6/11/14,13:29,Rock,animaletc,he was looking at a rock,11m,4to6y,male
none,6/11/14,13:30,Ball,animaletc,I think we were playing with a ball or she wanted a ball she could see.,10mOrBefore,0to3y,female
none,6/11/14,13:33,Cat,animaletc,our cat walked by Joshua pointed at it and said cat.,dontremember,0to3y,male
none,6/11/14,13:35,More,animaletc,Sitting in high chair demanding more food!,10mOrBefore,0to3y,male
none,6/11/14,13:36,Mama,animaletc,In high chair,10mOrBefore,0to3y,female
none,6/11/14,13:39,Uh-Oh,action,"I can't remember exactly - she said ""uh oh"" a lot when things fell etc.",dontremember,0to3y,female
none,6/11/14,13:40,Dog,animaletc,Pointing to a dog,12m,4to6y,
none,6/11/14,13:20,Bye Bye,other,Whenever we departed from someone,14mOrLater,4to6y,male
none,6/11/14,13:43,Otto,animaletc,Playing with our dog,14mOrLater,0to3y,male
none,6/11/14,13:46,Bird,animaletc,Just outside in the garden talking about what we could see,14mOrLater,4to6y,female
none,6/11/14,13:49,Milk,animaletc,can't remember but he probably saw his milk bottle.,11m,0to3y,male
none,6/11/14,12:32,Ball,animaletc,taking a bath,10mOrBefore,0to3y,female
none,6/11/14,13:50,Side,action,,10mOrBefore,0to3y,male
none,6/11/14,13:52,Apple,animaletc,We were at the Farmer's Market,13m,0to3y,male
none,6/11/14,13:51,Meow,action,She saw the cat,10mOrBefore,0to3y,female
none,6/11/14,13:54,Book,animaletc,Pulling out a book from bookcase,13m,0to3y,male
none,6/11/14,13:55,Wow,,Large xmas decorations in a mall.  Beautiful and sparkly.  Spoken in admiration of their impressiveness.,11m,4to6y,female
none,6/11/14,13:57,Blue,animaletc,"Used ""blue"" to descibe blueberries which he loved to eat.",10mOrBefore,4to6y,male
none,6/11/14,13:58,Ball,animaletc,Playing with a ball,13m,0to3y,female
none,6/11/14,13:43,Ball,animaletc,Don't recall.,14mOrLater,13plusy,male
none,6/11/14,14:02,Asterix,animaletc,On her 1st birthday she ran around calling his name,12m,0to3y,female
none,6/11/14,14:04,Apple,animaletc,She was eating apples. I told her she was eating apples she repeated after me.,10mOrBefore,7to12y,female
none,6/11/14,14:07,Cow,animaletc,playing with a cow stuffed toy,10mOrBefore,4to6y,male
none,6/11/14,14:09,Ball,animaletc,,10mOrBefore,7to12y,male
none,6/11/14,14:08,Dow ,animaletc,I was teaching him to point to the light and identify it by its name (speaking in Arabic so he was using the Arabic word),10mOrBefore,4to6y,male
none,6/11/14,14:09,Hi,other,Said when he saw the nanny.,10mOrBefore,0to3y,male
none,6/11/14,14:12,Ball,animaletc,She was calling after a ball.,11m,4to6y,female
none,6/11/14,14:12,Oh Cool,animaletc,"He had heard the smoke detector for the first time and kept pointing at it but he couldn't say ""smoke detector"" so he just kept repeating me because whenever he would point it out I would say ""Oh yes oh cool!""",10mOrBefore,4to6y,male
none,6/11/14,14:13,Cat,animaletc,Pointing at a drawing of a cat in a book (incidental to the story),14mOrLater,0to3y,female
